City,2022 Pop,Latitude,Longitude
Green Bay,"106,095",44.52,87.99
Centennial,"105,865",39.59,104.87
Buckeye,"105,567",33.43,112.64
Boulder,"105,485",40.02,105.25
Goodyear,"105,406",33.25,112.37
El Monte,"105,312",34.07,118.03
West Covina,"105,013",34.06,117.91
Brockton,"104,826",42.08,71.02
New Braunfels,"104,707",29.70,98.12
El Cajon,"104,414",32.80,116.96
Edinburg,"104,294",26.32,98.16
Renton,"104,047",47.48,122.19
Burbank,"103,920",34.19,118.33
Inglewood,"103,621",33.96,118.34
Rialto,"103,545",34.12,117.39
Lee's Summit,"103,465",38.92,94.38
Bend,"103,254",44.06,121.31
Woodbridge,"103,229",40.56,74.29
South Bend,"103,110",41.68,86.27
Wichita Falls,"102,664",33.91,98.53
St. George,"102,519",37.08,113.56
Fishers,"101,966",39.96,85.97
Carmel,"101,964",39.97,86.15
Vacaville,"101,918",38.36,121.97
Quincy,"101,727",42.26,71.01
Conroe,"101,405",30.32,95.49
Chico,"101,299",39.76,121.82
San Mateo,"100,984",37.56,122.31
Lynn,"100,891",42.47,70.96
Albany,"100,826",42.67,73.80
Hesperia,"100,744",34.40,117.32
New Bedford,"100,682",41.66,70.94
Davenport,"100,486",41.56,90.60
Daly City,"100,007",37.69,122.47
