"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-03-19",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-03-20",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-03-21",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-03-22",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-03-23",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-03-24",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-03-25",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-03-26",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-03-27",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-03-28",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-03-29",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-03-30",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-03-31",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-01",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-02",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-03",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-04",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-05",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-06",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-07",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-08",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-09",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-10",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-11",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-12",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-13",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-14",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-15",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-16",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-17",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-18",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-19",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-20",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-21",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-22",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-23",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-24",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-25",,,,
"US1AZMR0402","LITCHFIELD PARK 6.5 WNW, AZ US","2024-04-26",,,,
"US1NYSF0158","LINDENHURST 1.0 NE, NY US","2024-01-01",,,,
"US1NYSF0158","LINDENHURST 1.0 NE, NY US","2024-01-02",,,,
"US1NYSF0158","LINDENHURST 1.0 NE, NY US","2024-01-03",,,,
"US1NYSF0158","LINDENHURST 1.0 NE, NY US","2024-01-04",,,,
"US1NYSF0158","LINDENHURST 1.0 NE, NY US","2024-01-05",,,,
"US1NYSF0158","LINDENHURST 1.0 NE, NY US","2024-01-06",,,,
"US1NYSF0158","LINDENHURST 1.0 NE, NY US","2024-01-07",,,,
